ticket_type,priority,urgency,category_level_1,category_level_2,category_level_3,location,entity,service_label,origin,created_hour,created_day_of_week,is_weekend,description_length,category_level_2
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,BORDEAUX,TEXA SERVICES,,Téléphone,17,0,False,624,Matériel
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,TEXA,,Téléphone,17,0,False,4,Application métier
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,ORLEANS,TEXA SERVICES,,Self Service,17,0,False,173,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Sécurité,MFA,ORLEANS,TEXA SERVICES,,Téléphone,15,0,False,372,Sécurité
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,RENNES,GEOP,,Téléphone,15,0,False,327,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Application métier,Ringover,GUADELOUPE,TEXA,,Téléphone,15,0,False,356,Application métier
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,AVIGNON,TEXA SERVICES,,Self Service,15,0,False,574,Application métier
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,TEXA SERVICES,,Téléphone,14,0,False,74,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Téléphone,14,0,False,261,Systéme
Incident,3,1 - Haute,Incidents,Matériel,Informatiques,-,GMC,,Téléphone,14,0,False,742,Matériel
Incident,2,1 - Haute,Incidents,Application métier,Soluce,NICE,GEOP,,Téléphone,13,0,False,261,Application métier
Incident,4,2 - Moyenne,Incidents,Réseau,Mobile,AVIGNON,TEXA SERVICES,,Self Service,13,0,False,968,Réseau
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,STELLIANT,,Téléphone,12,0,False,367,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,ORLEANS CNG,TEXA,,Téléphone,12,0,False,316,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,Ringover,ROUEN,TEXA,,Self Service,12,0,False,36,Application métier
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,EURISK,,Téléphone,11,0,False,765,Logiciel Bureautique
Incident,4,2 - Moyenne,Incidents,Application métier,OPTIM,TOULON,TEXA,,Self Service,11,0,False,188,Application métier
Incident,4,3 - Faible,Incidents,Systéme,Windows Serveur,NANTES,PHENIX,,Téléphone,11,0,False,239,Systéme
Incident,3,1 - Haute,Incidents,Application métier,Avensys,NANTES,CLE,,Téléphone,10,0,False,870,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Téléphone,10,0,False,254,Systéme
Incident,5,3 - Faible,Incidents,Systéme,Windows,NICE,GEOP,,Téléphone,10,0,False,211,Systéme
Incident,5,3 - Faible,Incidents,Sécurité,MFA,TOULON,TEXA,,Téléphone,10,0,False,333,Sécurité
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,-,GMC,,Self Service,10,0,False,229,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,10,0,False,499,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,-,TEXA,,Self Service,9,0,False,194,Application métier
Incident,4,2 - Moyenne,Incidents,Portail,,Vitrolles,GMC,,Self Service,9,0,False,227,Portail
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA SERVICES,,Téléphone,9,0,False,132,Systéme
Incident,5,3 - Faible,Incidents,Sécurité,Filtrage URL,MELUN,TEXA,,Téléphone,9,0,False,436,Sécurité
Incident,5,3 - Faible,Incidents,Logiciel Bureautique,PDF-Exchange,-,TEXA SERVICES,,Kiosque IT,9,0,False,80,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Application métier,Ringover,BAYONNE,EURISK,,Téléphone,9,0,False,39,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA SERVICES,,Téléphone,9,0,False,231,Systéme
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,INQUEST,,Téléphone,9,0,False,108,Systéme
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,LILLE,TEXA,,Téléphone,9,0,False,304,Logiciel Bureautique
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,ORLEANS,VOXENS,,Self Service,9,0,False,94,Systéme
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,GMC,,Téléphone,8,0,False,30,Systéme
Incident,5,3 - Faible,Incidents,Application métier,ESKER,BOURGES CNG,TEXA,,Téléphone,8,0,False,101,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,SES,,Téléphone,8,0,False,255,Systéme
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,8,0,False,164,Systéme
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,VOXENS,,Self Service,8,4,False,270,Systéme
Incident,5,3 - Faible,Incidents,Sécurité,MFA,GUADELOUPE,TEXA,,Téléphone,17,3,False,106,Sécurité
